filename,length,chroma_stft_mean,chroma_stft_var,rms_mean,rms_var,spectral_centroid_mean,spectral_centroid_var,spectral_bandwidth_mean,spectral_bandwidth_var,rolloff_mean,rolloff_var,zero_crossing_rate_mean,zero_crossing_rate_var,harmony_mean,harmony_var,perceptr_mean,perceptr_var,tempo,mfcc1_mean,mfcc1_var,mfcc2_mean,mfcc2_var,mfcc3_mean,mfcc3_var,mfcc4_mean,mfcc4_var,mfcc5_mean,mfcc5_var,mfcc6_mean,mfcc6_var,mfcc7_mean,mfcc7_var,mfcc8_mean,mfcc8_var,mfcc9_mean,mfcc9_var,mfcc10_mean,mfcc10_var,mfcc11_mean,mfcc11_var,mfcc12_mean,mfcc12_var,mfcc13_mean,mfcc13_var,mfcc14_mean,mfcc14_var,mfcc15_mean,mfcc15_var,mfcc16_mean,mfcc16_var,mfcc17_mean,mfcc17_var,mfcc18_mean,mfcc18_var,mfcc19_mean,mfcc19_var,mfcc20_mean,mfcc20_var
Sympathy For The Devil.m4a,8330752,0.395173371,0.088873819,0.125289693,0.002216194,2212.56312,493861.4744,2428.579388,168088.3569,4853.032421,2345058.346,0.097088839,0.002684818,-1.36e-05,0.008794096,-0.000214828,0.003874078,117.4538352,-123.4311218,7434.402344,97.82745361,816.6826172,9.455996513,710.1935425,35.14855957,322.1990356,1.378313065,116.1556015,16.55625534,172.4937897,-6.47764492,104.1964264,13.08389378,87.14128876,-12.47824287,94.71748352,7.978716373,82.16266632,-5.174200535,64.68464661,3.6913414,61.9851799,-7.643493652,70.61277008,6.652909279,53.0161705,-3.762419224,90.79233551,8.118171692,95.98780823,-3.113238096,56.87388611,6.600659847,49.93046951,-5.209903717,57.49993134,4.030550957,57.00201416
Talk About Love.m4a,3606016,0.370878577,0.106644534,0.18373017,0.010786237,1410.567626,499903.9507,1923.485106,194438.5808,3031.504497,2883569.164,0.043279714,0.00132853,3.8e-06,0.038909126,8.94e-05,0.002129879,151.9990809,-191.6821899,6553.521973,114.5851135,773.4376221,7.895820141,437.1817017,38.79429245,298.6972351,-0.068975724,230.433075,19.77670288,173.6607056,0.861039877,183.2863464,15.94954681,94.73439789,-2.857637644,90.68906403,8.715437889,81.66101837,-0.067514643,113.3196487,9.607931137,80.73435211,3.638024092,109.4936829,4.018761158,92.43264771,0.630224466,92.62780762,1.247750759,67.2063446,-3.462778568,86.32898712,6.286484718,101.1534653,-2.194341421,83.76994324,-0.973623335,75.72627258
The Bluest Blues.m4a,9839616,0.317543715,0.084208831,0.213083759,0.005553519,1682.969114,496337.3265,1917.666101,305869.7381,3459.63585,2696846.018,0.075262944,0.001472207,-6.93e-06,0.033254828,-9.71e-05,0.006826669,151.9990809,-85.47486115,9204.241211,128.1437836,1399.960815,-9.790347099,782.1560669,33.08764267,200.6984558,-4.06617403,158.3721466,8.946909904,114.5308838,-5.007138252,102.480751,4.403230667,92.69886017,-7.250747204,100.1198578,3.621633768,90.31959534,-8.010504723,78.46772766,0.187201381,75.83075714,-7.328004837,67.79529572,2.312409639,73.55168152,-8.080266953,62.46912003,3.111927032,64.35544586,-6.097727299,58.90642166,0.712143302,55.18058777,-8.293592453,60.6977005,1.723401546,59.72072601
The Boys Are Back In Town.m4a,5748224,0.405636758,0.0791253,0.225646824,0.00322028,2452.840088,433552.2193,2272.414153,190892.8544,4922.415823,1887092.744,0.137818557,0.003095096,-3.49e-09,0.026662376,8.56e-07,0.011210001,161.4990234,-13.20703697,2843.78125,94.01898193,761.2228394,-23.07670212,667.4976196,37.66355515,174.573349,-6.097930908,90.31568146,10.4637022,71.37440491,-8.382470131,87.59745789,8.287381172,52.33685684,-11.37063313,64.30368042,10.85321331,41.97359848,-6.797738552,43.78847885,5.880355835,40.17132568,-8.557109833,42.34978867,-0.157712296,40.01443481,-4.431678772,55.46163559,4.455123901,35.38739777,-11.9822998,41.57231522,5.352694035,32.85607529,-5.54617548,34.55966949,4.998370647,36.4785347
The Four Seasons.m4a,10442752,0.263967037,0.088089101,0.022244953,0.00025243,1863.06054,349348.842,1922.56305,79705.67678,3572.635732,1157033.898,0.104848183,0.00325454,0.002547857,0.000571441,0.000187443,4.23e-05,151.9990809,-334.9098206,13187.94531,91.6042099,1119.162476,-19.51526833,652.5227051,26.80663872,106.9635086,-5.588677406,174.0754395,-1.682303548,108.1802597,-5.253373623,135.39711,5.124950886,105.2182922,-3.027338028,123.1350784,2.9114573,132.0003815,-6.510537624,170.9429321,0.880688429,159.2727661,-0.896778166,176.2911682,2.520484686,135.3472443,-2.113769293,113.7318497,3.544806242,82.5863266,-1.607699275,76.86598206,3.046842813,88.44126129,-2.361700058,142.9933624,1.702088118,155.1849823
The Girl From Ipanema.m4a,7089664,0.286212742,0.093147494,0.129980892,0.003607279,1653.330815,690109.3352,2179.394477,273047.5381,3469.087968,4218885.874,0.056027523,0.002005262,-8.86e-08,0.01638565,-2.66e-05,0.001355952,129.1992188,-188.1078644,5466.760254,113.5797882,1419.637207,25.67505836,615.4555664,28.16864777,316.1931763,2.226041317,168.2138214,13.27969074,130.2194824,-4.023575783,103.4127502,2.75144434,84.88121033,-11.54916,75.96490479,-3.66567874,89.23732758,-6.908683777,72.50292969,5.668412209,64.87454224,-9.391009331,75.95593262,-0.45003897,68.06872559,-6.692968845,59.51749039,-0.826920986,77.99536896,-5.062114239,78.57778931,2.45601511,72.3653183,-10.36368084,68.58848572,-1.905369639,80.87051392
The Thrill Is Gone.m4a,4836864,0.24462916,0.088873804,0.160453796,0.00888316,1352.541717,228491.2978,1435.65156,104839.289,2586.182594,1184269.872,0.067487828,0.001050482,-1.78e-06,0.024166279,-2.23e-05,0.00420561,66.25600962,-176.1503296,6082.27002,142.0197144,1109.921875,-27.75766945,952.5125122,33.31794357,383.4172363,-21.18301582,231.0911102,4.132932186,196.7524719,-5.124489307,189.1412659,-10.53499508,153.6752472,-8.46866703,97.85549164,-3.41811347,99.35894775,-3.695810318,104.8217773,-5.437698841,83.76385498,-5.235817909,102.1783829,-11.53777409,100.9992294,-9.092372894,85.51295471,-4.001274109,79.41343689,-2.542033434,80.35927582,-3.722005129,120.402504,0.032464787,155.4568481,2.581175327,128.6335907
The Tide Is High.m4a,3653120,0.353251815,0.091203533,0.117264256,0.003225642,1965.002443,370219.7476,2020.400627,125994.9901,3923.536094,1211936.356,0.093464599,0.002304016,-0.004676334,0.010890706,-0.002516009,0.002276753,95.703125,-152.2354889,9047.75293,96.49471283,859.2693481,-13.65721321,395.8977661,57.5221405,326.8869019,-5.490882874,249.6371613,0.176802874,118.823967,-8.435164452,106.6309052,18.04380798,95.42858124,-12.11635303,126.9533386,6.961510181,97.18483734,0.140795201,90.61533356,6.912874699,66.21052551,-4.561759949,81.37020111,4.896697998,60.38062286,-7.01523304,73.63563538,-0.365532517,50.27959442,-8.622954369,60.82519531,3.401253939,72.37109375,-5.336375237,61.79693604,-1.635082245,58.55139542
The Trooper (1998 Remaster).m4a,5527552,0.394490331,0.082008459,0.233981594,0.002788236,2054.869349,247714.1899,2310.953606,149076.2756,4552.302024,1286040.872,0.086939433,0.0009508,-3.07e-08,0.030945774,-1.54e-05,0.008848225,161.4990234,-33.5565567,2406.541504,106.935524,533.5651245,-3.455584049,324.3012085,43.1093483,217.6944122,-6.091269016,81.59408569,1.468182325,102.8791351,-7.204151154,66.27906799,10.11829758,72.00349426,0.687222421,57.50164413,11.66691685,59.10368729,-6.68340826,41.55388641,3.835042715,46.22313309,-11.73629189,50.53613281,3.354233265,48.3996315,-8.225420952,69.70590973,3.214812994,48.51299667,-7.414599895,44.92519379,2.949562311,43.99309921,-11.38334465,45.63991547,3.955711842,41.24191666
Thousand Finger Man.m4a,9114624,0.417205244,0.080152526,0.156067297,0.004129454,1837.814328,319471.3299,2119.229359,160109.0776,3849.763096,1798060.808,0.08544036,0.001753199,1.18e-06,0.011073007,3.1e-06,0.008939378,117.4538352,-92.90751648,7538.675293,119.0946198,823.3949585,-9.01106739,448.8776245,25.23330688,139.9522858,-5.204489231,146.6485138,12.76191425,80.63305664,-6.066998959,70.04152679,4.443627357,49.36675262,-4.34939909,49.14337158,4.815819263,50.11365891,-3.740696907,42.06048584,4.677295208,55.19168854,-6.645867348,33.66773605,2.375866175,30.10641861,-5.501960278,34.72429276,5.811271667,34.41994858,-5.039051056,31.59259415,5.172302246,37.10303116,-1.736544728,46.73260498,8.44598484,46.77609634
